Topic,Count,Name,Representation,Representative_Docs
0,227044,0_thank_thanks_yes_thats,"['thank', 'thanks', 'yes', 'thats', 'twitter', 'just', 'like', 'good', 'im', 'mypov']","['@Will_H_Ferguson Good morning @Will_H_Ferguson 😊 Thanks for joining and sharing your expertise on #MercerChats today!', '@VJ_DMTFL It makes me happy. Thank you!', '@caro_milanesi yes, I just did that as a podcast']"
1,91186,1_ai_machinelearning_artificialintelligence_deeplearning,"['ai', 'machinelearning', 'artificialintelligence', 'deeplearning', 'bigdata', 'datascience', 'artificial', 'intelligence', 'cc', 'read']","['Year-End Review-AI: Artificial Intelligence Initiatives Accelerate in ... - Healthcare Innovation\n\nRead more here: https://t.co/3jKb3cZgkp\n\n#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT', 'Jobs In Artificial Intelligence - How To Make A Career In AI - Forbes\n\nRead more here: https://t.co/BbICXcd31T\n\n#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT', 'Will Artificial Intelligence Rule The World? - Forbes\n\nRead more here: https://t.co/B9hQT3AHiR\n\n#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT']"
2,85074,2_quotes_weekendwisdom_sundaythoughts_peopleskillschat,"['quotes', 'weekendwisdom', 'sundaythoughts', 'peopleskillschat', 'sundaymotivation', 'womenshistorymonth', 'tuesdaythoughts', 'tuesdaymotivation', 'saturdaythoughts', 'fridaythoughts']","[""Today I will do what others won't. #JerryRice #Quotes @NFL #SundayMotivation #SundayThoughts #WeekendWisdom #BlackHistoryMonth https://t.co/ZHTKA4mzva"", 'Football is like life. #VinceLombardi #Quotes @NFL #SundayMotivation #SundayThoughts #WeekendWisdom https://t.co/dAHDHQ2a7P', 'If you want security. #TonyRobbins #Quotes #SundayMotivation #SundayThoughts #WeekendWisdom https://t.co/3ZAMr8NGNv']"
3,77686,3_digitaltransformation_digital_transformation_data,"['digitaltransformation', 'digital', 'transformation', 'data', 'cloud', 'cio', 'business', 'technology', 'tech', 'innovation']","['""We have a digital business transformation strategy for peacekeeping.""\n-- @BMarianoJr, Chief Information Technology Officer at @UN_OICT @UN\n\n#cxotalk #cio #DigitalTransformation', 'Rockwell Automation Suspends Business in Russia - Latest Digital Transformation Trends | Cloud News - Wire19 #DigitalTransformation  CC:@sallyeaves https://t.co/86APnmyDh7', 'Todays Digital Transformation, Data,  Innovation &amp; Analytics News: https://t.co/9cFkQm6ErU Thanks to @startuprad_io @karry4you @GregBJenkins #digital #ai']"
4,70509,4_fintech_crypto_billion_market,"['fintech', 'crypto', 'billion', 'market', 'forbes', 'cryptocurrency', 'companies', 'million', 'startup', 'banking']","['Todays #FinTech, #RegTech &amp; #Regulation News: https://t.co/W19LI7lRVx Thanks to @CurieuxExplorer @gdsc_kimathi @CryptoFan12345 #fintech #innovation', 'Todays #FinTech, #RegTech &amp; #Regulation News: https://t.co/3IzYCfv0fJ Thanks to @Aqua_Connect @Optisyn_Fahim @cartony9 #fintech #blockchain', 'The global #insurance market is estimated to be a $5.05 billion industry. #BigData, #MachineLearning And #AI will have a seismic impact https://t.co/U2Gg4EVUGp via @Forbes #Insurtech #fintech #DataScience @jblefevre60 @Xbond49 @pierrepinna @SpirosMargaris @YvesMulkers @stratorob']"
5,63240,5_socialmedia_facebook_apple_twitter,"['socialmedia', 'facebook', 'apple', 'twitter', 'technology', 'social', 'tech', 'media', 'new', 'users']","['Facebook Takes Action Against Hacking Group from China Which Targeted Uyghur and Turkish News Sites #SocialMedia #facebook #hackers  https://t.co/4Gyn7Vabgw', 'YES! This was so much fun Mary Ellen, AND we created a long-term real life relationship because of our connection on #socialmedia. #SocialMedia success really is about building genuine connections. #ThuliumChats', ""Facebook says leak of 533m accounts is old news. But my date of birth, name, etc haven't changed in years, Zuck https://t.co/IbZLbmzP7P #tech #feedly #socialmedia #facebook #cybersecurity @TylerCohenWood @JolaBurnett @IanLJones98 @NevilleGaunt @AmitChampaneri1 @CurieuxExplorer""]"
6,53869,6_people_peopleskillschat_work_world,"['people', 'peopleskillschat', 'work', 'world', 'life', 'think', 'dont', 'like', 'amp', 'just']","['We really need to change the way we work. People live lives, they don’t live jobs. https://t.co/adXeIAVbMu', 'RT @PeopleSkill Q3. How does culture and values affect the importance we put on honoring other people’s feelings? #PeopleSkillsChat #Leadership #Relationships', 'A2. When times feel like we have no control and then we see some stepping up to make things better ... the faith we have in them is hope that things can get better.  #Gratitude for their courage. #PeopleSkillsChat']"
7,52784,7_nicochan33_frronconi_betamoroney_fabriziobustama,"['nicochan33', 'frronconi', 'betamoroney', 'fabriziobustama', 'curieuxexplorer', 'pawlowskimario', 'baskila', 'enilev', 'shi4tech', 'mvollmer1']","['@CurieuxExplorer @MercedesBenz @Fabriziobustama @Nicochan33 @Shi4Tech @jblefevre60 @GlenGilmore @FrRonconi @gvalan @fogle_shane @mvollmer1 @PawlowskiMario @KanezaDiane @EvaSmartAI @Analytics_699 @RLDI_Lamy @jeancayeux @labordeolivier @LaurentAlaus @enilev @JimHarris @pierrepinna @MargaretSiegien @tobiaskintzel @AlbertoEMachado 👍', '@BetaMoroney @FrRonconi @Nicochan33 @Shi4Tech @Fabriziobustama @labordeolivier @jblefevre60 @gvalan @Ym78200 @KanezaDiane @mvollmer1 @Hana_ElSayyed @PawlowskiMario @MargaretSiegien @mikeflache @EvaSmartAI @AlbertoEMachado @RLDI_Lamy @AlAmadi1 @jeancayeux @sallyeaves @marcusborba @tobiaskintzel @HaroldSinnott #HappySunday, Tony 🙏💫', '@CurieuxExplorer @Gartner_inc @Ronald_vanLoon @Nicochan33 @jblefevre60 @mvollmer1 @FrRonconi @Shi4Tech @chboursin @Fabriziobustama @labordeolivier @sebbourguignon @Ym78200 @RLDI_Lamy @tobiaskintzel @BetaMoroney @anand_narang @bimedotcom @EvaSmartAI @Hana_ElSayyed @PawlowskiMario @Victoryabro @TanyaSinha_ @pierrecappelli Great share dear Dev!']"
8,50848,8_robotics_robot_robots_automation,"['robotics', 'robot', 'robots', 'automation', 'ai', 'cc', 'robotic', 'artificialintelligence', 'engineering', 'mashable']","['How is the global #Robotics 🤖 market growing until 2030? Intelligence and Mobility Will Shape the #FutureofWork @BCG \n\n#EmergingTech #Robotics #robots #automation #ArtificialIntelligence #AI #MachineLearning #ML #DigitalTransformation #Industry40 #4IR \nhttps://t.co/dhuPIgm8nR', 'This #Robot taught itself to walk\nby @mashable\n\n#AI #ArtificialIntelligence #MI #Robotics #EmergingTech #Technology\n\ncc: @space_mog @maxjcm @ronald_vanloon https://t.co/IpdS5FNtDl', 'This Robot automatically cleans barn floors 24/7 \nby @gigadgets_\n\n#AI #ArtificialIntelligence #MI #Robotics #RPA #Tech #Technology #Innovation #Robotics\n\ncc: @heinzvhoenen @dirkschaar @space_mog https://t.co/oCCNI678oV']"
9,50400,9_cybersecurity_data_privacy_breach,"['cybersecurity', 'data', 'privacy', 'breach', 'security', 'technology', 'ransomware', 'war', 'ukraine', 'hackers']","['4 Things You Need to Know about #Ransomware attacks.  (World Economic Forum) #CyberCrime #CyberSecurity https://t.co/wXVypeFyhW', '4 Things You Need to Know about #Ransomware attacks.  (World Economic Forum) #CyberCrime #CyberSecurity https://t.co/wXVypeFyhW', '#infographic: Common types of #phishingattacks\n@ingliguori\n#CyberSecurity #DataSecurity #Privacy #100DaysOfCode #CloudSecurity #MachineLearning #Phishing #Ransomware #Cybersecurity #CyberAttack #DataProtection #DataBreach #Hacked #Infosec #InformationTechnology\n@kenovy_it https://t.co/9cDLNjDK64']"
10,47461,10_great_thanks_im_join,"['great', 'thanks', 'im', 'join', 'thank', 'mypov', 'love', 'time', 'podcast', 'just']","[""Excited to be back in Austin for the week &amp; looking forward to a amazing week with the awesome open source community! \U0001faf6\nWill be at Anaconda's 10 year birthday party &amp; #SciPy2022 and am looking forward to meet and catch up with everyone!"", 'Happy to join', '@antgrasso Happy Birthday my friend! I hope you have a great day.']"
11,46728,11_environment_forum_economic_world,"['environment', 'forum', 'economic', 'world', 'energy', 'climatechange', 'sustainability', 'climate', 'wef', 'solar']","['The  world s way off track when it comes to its climate goals.  (World Economic Forum) #ClimateChange #Environment https://t.co/XSo5SnKB56', 'The World is with Australia.  (World Economic Forum) #Environment #ClimateChange https://t.co/eksodf28lq', 'The World is with Australia.  (World Economic Forum) #Environment #ClimateChange https://t.co/eksodf28lq']"
12,44228,12_future_technology_innovation_tech,"['future', 'technology', 'innovation', 'tech', 'futureofwork', 'keynotespeaker', '2022', 'new', 'futuretrends', 'futurejobs']","['Caption-hashtag competition. Begin! #captions #competitor #hashtag #captionthis https://t.co/B09A0tsCuy #keynotespeaker #futuretrends #futureofwork #futurejobs #futuriststrategy https://t.co/r2y9ef2nSo', 'Caption-hashtag competition. Begin! #captions #competitor #hashtag #captionthis https://t.co/B09A0tsCuy #keynotespeaker #futuretrends #futureofwork #futurejobs #futuriststrategy https://t.co/3S7YAcpybQ', 'Caption-hashtag competition. Begin! #captions #competitor #hashtag #captionthis https://t.co/B09A0tKdT8 #keynotespeaker #futuretrends #futureofwork #futurejobs #futuriststrategy https://t.co/uWqFDMHwuF']"
13,44145,13_tech_new_apple_technology,"['tech', 'new', 'apple', 'technology', 'vr', 'virtual', 'ar', 'app', 'video', 'like']","['In case you missed it live.  Catch Terry Stepien, CEO @expeflow in the #TechSpotlight on @570News Kitchener Today with Brian Bourke. @2B_ONAIR. The August 18th recording is available here. https://t.co/N5cxWXogJy https://t.co/WftekqA8es #FutureOfClaims #Insurance', 'Looking to bring those high touch workflows within easy reach?  Make sure to check out a #Workflow #Accelerator like @Expeflow!  We work with #RPA platforms like @ServiceNow to give you that extra performance edge!  https://t.co/MVrZO2kJbw https://t.co/9Om47dOG4E', 'Looking to bring those high touch workflows within easy reach?  Make sure to check out a #Workflow #Accelerator like @Expeflow!  We work with #RPA platforms like @ServiceNow to give you that extra performance edge!  https://t.co/MVrZO2kJbw https://t.co/9Om47dOG4E']"
14,41657,14_autoindustry_ev_electric_automobileindustry,"['autoindustry', 'ev', 'electric', 'automobileindustry', 'car', 'tesla', 'gigadgets', 'transportation', 'technology', 'cars']","['This Greek island is planning an electric vehicle paradise. (World Economic Forum) #EV #AutoIndustry #AutomobileIndustry @wef https://t.co/UJ0kcLIrGT', ""The world's cheapest electric car courtesy of China. (Mashable) #EV #AutoIndustry #AutomobileIndustry https://t.co/FX6sGmLw2e"", 'This flying electric car is scheduled to be made available in 2023.  (Mashable) #EV #AutoIndustry #AutomobileIndustry https://t.co/za30fUWeoS']"
15,40346,15_datascience_machinelearning_bigdata_python,"['datascience', 'machinelearning', 'bigdata', 'python', 'coding', '100daysofcode', 'rstats', 'ai', 'analytics', 'programming']","['AI Best: #Statistics and #Analytics. #BigData #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #GoLang #CloudComputing #Serverless #DataScientist #Linux #Books #Programming #Coding #100DaysofCode  \nhttps://t.co/HJnweeDonT https://t.co/ItkCtxblBv', '#Statistics in #DataScience &amp; #MachineLearning. #BigData #Analytics #DataScience #AI #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #GoLang #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode \nhttps://t.co/EV2EMqXxGL https://t.co/uLGEEtLhyC', '9 Reasons to start learning #Python\nVia @ingliguori #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS  #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode @antgrasso @mvollmer1 https://t.co/mZh2EX0PHm']"
16,39248,16_mathematics_book_source_science,"['mathematics', 'book', 'source', 'science', 'like', 'time', 'physics', 'new', 'just', 'life']","[""Mathematics as Discovery.\n\nWhen exploring the Mandelbrot Set, it's easy for you to discover a specific pattern or design that no human has ever seen before. \n\nVisualization by @suechait https://t.co/5vbBjWRjkk"", 'This is a mathematics and physics joke. https://t.co/gIawg5gmgQ', 'Mathematics.\n\nOn the beauty and mystery of math art using Fourier series. Source: https://t.co/8JFBxMtxO1  https://t.co/KVakqRDAt4']"
17,38907,17_customer_cx_customerexperience_customers,"['customer', 'cx', 'customerexperience', 'customers', 'experience', 'customerservice', 'business', 'employees', 'service', 'journey']","['New post &gt;&gt; Improving the Employee Experience to Improve the Customer Experience | CX Journey™ https://t.co/eHSfZuX3H2 #employeeexperience #empexp #customerexperience #custexp #cx https://t.co/MgzpId2Tho', 'The latest Customer Service | Customer Experience Daily! https://t.co/foXDI4dj3r Thanks to @Hyken @bobehayes @kustomer #customerexperience #cx', '“Is customer service more important than price?”\n\nThat’s exactly what we asked more than 1,000 U.S. customers in our 2022 Achieving Customer Amazement customer service research.\n\nRead more: https://t.co/OdKJzvP22M #customerservice #customerexperience #CX']"
18,33259,18_iot_iotcommunity_iotpl_iotchannel,"['iot', 'iotcommunity', 'iotpl', 'iotchannel', 'iotcl', 'iiot', 'iotpractioner', 'digitaltransformation', 'edgecomputing', 'industry40']","['🙏Thank you @IoTchannel @IoTCommunity @iotpractitioner\n➕Congrats #IoTCL Champions 🌟💯🚀\n————\n#IoT #IoTPL #IIoT #IoTCommunity #AI #Edge #EdgeAI #IntelligentEdge #5G #DigitalTransformation #Industry40 #DigitalTwins #Logistics #BigData #DataScience #MachineLearning #EdgeComputing', 'Thank you @IoTCommunity @IoTchannel 🙏\n➕Congratulations to all #IoT Premier League Leaders‼️\n—————\n#IoTCommunity #IoTCL #IoTPL #IoT #IIoT #IoTSlam @iotpractitioner @IoTSlam #Edge #AI #Industry40 #5G #MachineLearning #DataScience #DigitalTransformation #EdgeComputing', '🌟🙏Thank you @IoTchannel @IoTCommunity\nCongrats to all #IoTPL Leaders💯💥\n—————\n#IoT #IoTCL #IIoT #IoTCommunity #AI #Edge #EdgeAI #IntelligentEdge #5G #DigitalTransformation #Industry40 #DigitalTwins #BigData #DataScience #MachineLearning #EdgeComputing @iotpractitioner @IoTslam']"
19,32881,19_trump_people_ukraine_war,"['trump', 'people', 'ukraine', 'war', 'just', 'russia', 'like', 'russian', 'dont', 'gop']","['And there it is. *Many* of the domestic terrorists intended to murder elected officials to keep Trump in office. They say so in their own words.\n\nThe GOP owns 100% of this behavior. For all of history.', ""Russians in the United States speak out against Putin's attack on #Ukraine (USA TODAY) #War https://t.co/86ljpztudm"", 'Only a moron would equate a Trump ban to becoming like China. Besides private companies can have whatever terms of service. This is not state censorship. Besides ONLY people placing little value on ethics can support Trump. A bunch of people with low values']"
20,31664,20_covid19_coronavirus_covid_pandemic,"['covid19', 'coronavirus', 'covid', 'pandemic', 'quarantine', 'thingstodo', 'number', 'vaccine', 'health', 'coronaviruspandemic']","['How effective are vaccines against Omicron?  (World Economic Forum) #CoronaVirus #COVIDー19 #COVID19 #CoronaVirusOutbreak #CoronaVirusPandemic @wef  https://t.co/iWVTqHeHrj', 'Brief Covid vaccination update.  (World Economic Forum) #CoronaVirus #COVIDー19 #COVID19 #CoronaVirusOutbreak #CoronaVirusPandemic https://t.co/WWsZBSBfcI', 'COVID-19: What you need to know about the #coronavirus pandemic this week #COVID19 https://t.co/RdOlDlA4KO']"
21,31328,21_lifestyle_fashion_artdesign_innovation,"['lifestyle', 'fashion', 'artdesign', 'innovation', 'cheddar', 'gadgets', 'eco', 'gigadgets', 'marketing', 'whatsnext']","[""Take on summer's heat with this new #Innovation!  Cool huh? (Cheddar Gadgets) https://t.co/P2dM05lyBF"", 'High-Fashion Sportswear https://t.co/pwkcioPTNv #Lifestyle https://t.co/Xu8u5kbWEh', '#Innovation in building materials can make new things possible!  (Cheddar Gadgets) https://t.co/pUwpMdH5aV']"
22,29232,22_ve_le_bir_la,"['ve', 'le', 'bir', 'la', 'en', 'et', 'les', 'bu', 'relire', 'des']","[""&gt; Si on lit les choses autrement : pour 82% la sécurité de l'emploi a plus d'importance que le sens, 60% ne sont pas prêts à changer de travail pour trouver du sens...\n\nLes jeunes sont de plus en plus à la recherche de sens dans leur travail https://t.co/dDeOJobw62 https://t.co/mlZY4TGj5F"", ""@ai_dumb @cedric_o Je n'aime pas les politiciens qui ne prêtent pas attention à l'éducation, la recherche, l'innovation, la technologie.\nIls ne comprennent rien à la dynamique du monde moderne et à son économie.\nIl ne peuvent mener qu'à la misère."", '[A relire] Onboarding et mentoring ne sont pas que pour les plus inexpérimentés https://t.co/K48WY0kutl']"
23,28502,23_expeflow_claims_remotework_futureofclaims,"['expeflow', 'claims', 'remotework', 'futureofclaims', 'workflow', 'insurance', 'remote', 'insurtech', 'demo', 'expeflows']","[""Worried about maintaining your team's efficiency and productivity while working remote? Expeflow's Expert digital #Workflow delivers consistency and efficiency across your organization's claims. #FutureOfClaims @Expeflow #RemoteWork https://t.co/Gmf33TKEDg https://t.co/Su68dL6pT1"", ""Worried about maintaining your team's efficiency and productivity while working remote? Expeflow's Expert digital #Workflow delivers consistency and efficiency across your organization's claims. #FutureOfClaims @Expeflow #RemoteWork https://t.co/Gmf33TKEDg https://t.co/Su68dL6pT1"", ""Worried about maintaining your team's efficiency and productivity while working remote? Expeflow's Expert digital #Workflow delivers consistency and efficiency across your organization's claims. #FutureOfClaims @Expeflow #RemoteWork https://t.co/Gmf33TKEDg https://t.co/Su68dL6pT1""]"
24,26803,24_change_leadership_leadershipofchange_changemanagement,"['change', 'leadership', 'leadershipofchange', 'changemanagement', 'management', 'leaders', 'organisational', 'employees', 'organisation', 'knowledge']","[""#LeadershipOfChange\nChange Management Leadership – Leadership of Change\nChange Management Body of Knowledge Volume 4\n3 critical change leadership responsibilities that all leaders should perform to support their organisation's change\n#ChangeManagement\nhttps://t.co/mJAy1T08r2 https://t.co/0FCHA3Td5i"", ""#LeadershipOfChange\nChange Management Leadership – Leadership of Change\nChange Management Body of Knowledge Volume 4\n3 critical change leadership responsibilities that all leaders should perform to support their organisation's change\n#ChangeManagement\nhttps://t.co/TYs5Zw9PN5 https://t.co/bB3h6CiwcA"", ""#LeadershipOfChange\nChange Management Leadership – Leadership of Change\nChange Management Body of Knowledge Volume 4\n3 critical change leadership responsibilities that all leaders should perform to support their organisation's change\n#ChangeManagement\nhttps://t.co/TYs5Zw9PN5 https://t.co/338AsYWJPm""]"
25,18934,25_healthtech_healthcare_technology_health,"['healthtech', 'healthcare', 'technology', 'health', 'digital', 'vr', 'ai', 'tech', 'medical', 'ar']","['A breakthrough in #healthcare to treat brain disease via @seeker #health #MEDTECH #innovation #HealthTech #HealthForAll #health @TylerCohenWood @JolaBurnett @IanLJones98 @NevilleGaunt @jblefevre60 @CurieuxExplorer @ShiCooks @Ym78200 https://t.co/MAH2J0OFUj', '#HealthTech', 'The Traditional Healthcare Model Is Dead! Who Will Survive The Healthtech Wave? Eight Technology Challenges in Healthcare.\n\nSource @techmenttech Link https://t.co/4VYulgi1Ic via @antgrasso #healthcare #HealthTech #MedTech #TeleMedicine https://t.co/B844mmI6jZ']"
26,17718,26_5g_ccronaldvanloon_security_network,"['5g', 'ccronaldvanloon', 'security', 'network', 'mobile', 'wireless', 'ccladyhalcon2012', 'ericsson', 'networks', 'ccpaulapiccard']","['What’s up with… BT, 5G in Malaysia, 5G in Tanzania - TelecomTV #5G #Security  CC:@Ronald_vanLoon https://t.co/bGmMV6ZTWZ', 'AT&amp;T 5G: Everything you need to know https://t.co/9vGuok2BUq \n#5G #mobile #telco #innovation #digital #data', 'What is 5G, what is it used for and how does it work? - Telefónica #5G  CC:@UK_CIF https://t.co/RZPCTzJMqz']"
27,17203,27_ai_pawlowskimario_mvollmer1_shi4tech,"['ai', 'pawlowskimario', 'mvollmer1', 'shi4tech', 'nicochan33', 'kalydeoo', 'jblefevre60', 'fabriziobustama', 'gvalan', 'innovation']","['@Hana_ElSayyed @ZappyZappy7 @TerenceLeungSF @FrRonconi @sallyeaves @labordeolivier @Nicochan33 @GlenGilmore @Ronald_vanLoon @mvollmer1 @BetaMoroney @Shi4Tech @jeancayeux @CurieuxExplorer @AkwyZ 🤖👍 Thanks for this wonderful share &amp; mention, dear @Hana_ElSayyed \n\n#AI  #Robots #Robot #Digital #tech #technology #innovation #IoT #Data #DataScience #BigData #Flutter #100DaysOfCode #coding #python #javascript #Linux #MachineLearning #MWC #MWC23 #MWC2023', '💥Conference in #Metaverse! \n\n#AI #MachineLearning #AR #CES2022 @IntEngineering\n\n@SpirosMargaris @MargaretSiegien @PawlowskiMario @mvollmer1 @gvalan @ipfconline1 @Shi4Tech @diioannid @mvollmer1 @Fabriziobustama @kalydeoo @Ym78200 @Nicochan33 @HaroldSinnott\nhttps://t.co/EWJztU1lsq', '@FrRonconi @Hana_ElSayyed @CurieuxExplorer @anand_narang @Shi4Tech @mvollmer1 @enilev @TheAdityaPatro @kalydeoo @labordeolivier @AlbertoEMachado @JolaBurnett @chboursin @BetaMoroney 👍Thanks for sharing dear Franco\n#tech #CES2023 #CES #innovation #technology #web3 #metaverse #IoT #DataAnalytics #bigdata #DataScientists #python #robots #Robotics #smartcities #AI #SelfDrivingCars #digital #5G #MachineLearning']"
28,13914,28_time_year_just_launch,"['time', 'year', 'just', 'launch', 'mypov', 'going', 'years', 'days', 'day', 'week']","['April 12 is the International Day of Human Space Flight. 60 years ago, Yuri Gagarin had his first historic flight into the cosmos. As we reflect on his accomplishment today, we look ahead to the future of human space flight as we prepare to send humans back to the Moon. https://t.co/RR0O5wrr9W', 'Live Now: #DARTMission experts discuss early results from the spacecraft’s planned impact with asteroid Dimorphos — the world’s first #PlanetaryDefense test: \n\nRemember: DART is a test and there are no known asteroid threats to Earth.  https://t.co/1xdgJEaghU', 'Getting on a plane for the first time in 13 months today. Strangely had 8 flights in about 4 weeks last year March/April. Nothing in between and now at least 6 flights in less than three weeks.']"
29,11220,29_learning_language_think_dont,"['learning', 'language', 'think', 'dont', 'models', 'model', 'brain', 'just', 'people', 'like']","['Ethics section:\n""Papers that include text generated from a large-scale language model (LLM) such as ChatGPT are prohibited unless these produced text is presented as a part of the paper’s experimental analysis.""\n\nSo medium-scale &amp; small-scale language models are fine, right?', '@ylecun @TonyZador @davidchalmers42 @raphaelmilliere @ak_panda @bleepbeepbzzz @MetaAI @noema @Jake_Browning00 @NoemaMag @luislamb @AvilaGarcez but of course math, logic, computer programs are symbols but not human language. language is just one symbol system among many.\n\nall nonhumans animals do indeed plan and reason (to they extent that they do at all) without language, but some may use explicit symbols.', '@david_macedo Deep learning is generally better for problems with known a priori structure (vision, language) and worse for those without. Check Kaggle, for example. Everyone should know that.']"
